Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,70,All cancers excl. non-melanoma skin cancer,0,8512,115.2,262.0,13.0
1,C00-06,70,"Lip, oral cavity",0,63,0.91,1.9,0.11
2,C07-08,70,Salivary glands,0,15,0.18,0.46,0.02
3,C09-10,70,Oropharynx,0,24,0.34,0.74,0.04
4,C11,70,Nasopharynx,0,9,0.12,0.28,0.02
5,C12-13,70,Hypopharynx,0,26,0.42,0.80,0.05
6,C15,70,Oesophagus,0,91,1.3,2.8,0.16
7,C16,70,Stomach,0,544,7.3,16.7,0.87
41,C18-C21,70,Colorectum,0,1086,13.8,33.4,1.6
11,C22,70,Liver and intrahepatic bile ducts,0,462,5.9,14.2,0.72
12,C23,70,Gallbladder,0,88,1.1,2.7,0.13
13,C25,70,Pancreas,0,489,6.4,15.1,0.78
14,C32,70,Larynx,0,146,2.0,4.5,0.25
15,C33-34,70,"Trachea, bronchus and lung",0,2002,28.2,61.6,3.5
16,C43,70,Melanoma of skin,0,102,1.5,3.1,0.17
18,C45,70,Mesothelioma,0,11,0.16,0.34,0.02
19,C46,70,Kaposi sarcoma,0,1,0.01,0.03,0.00
20,C50,70,Breast,0,578,15.3,34.9,1.8
21,C51,70,Vulva,0,18,0.39,1.1,0.04
22,C52,70,Vagina,0,5,0.13,0.30,0.02
23,C53,70,Cervix uteri,0,151,4.9,9.1,0.54
24,C54,70,Corpus uteri,0,94,2.3,5.7,0.29
25,C56,70,Ovary,0,198,5.5,11.9,0.66
26,C60,70,Penis,0,3,0.09,0.19,0.02
27,C61,70,Prostate,0,457,11.8,28.7,1.2
28,C62,70,Testis,0,16,0.85,1.0,0.07
29,C64,70,Kidney,0,158,2.2,4.9,0.27
30,C67,70,Bladder,0,272,3.2,8.4,0.36
31,C70-72,70," Brain, central nervous system",0,350,5.4,10.8,0.63
32,C73,70,Thyroid,0,20,0.23,0.62,0.03
33,C81,70,Hodgkin lymphoma,0,24,0.31,0.74,0.04
34,C82-86+C88,70,Non-Hodgkin lymphoma,0,116,1.6,3.6,0.19
35,C90,70,Multiple myeloma,0,68,0.97,2.1,0.13
36,C91-95,70,Leukaemia,0,204,2.8,6.3,0.32
