Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,76,All cancers excl. non-melanoma skin cancer,0,275762,90.4,128.1,9.5
1,C00-06,76,"Lip, oral cavity",0,4700,1.6,2.2,0.18
2,C07-08,76,Salivary glands,0,487,0.16,0.23,0.02
3,C09-10,76,Oropharynx,0,3495,1.2,1.6,0.15
4,C11,76,Nasopharynx,0,510,0.18,0.24,0.02
5,C12-13,76,Hypopharynx,0,699,0.24,0.32,0.03
6,C15,76,Oesophagus,0,10393,3.5,4.8,0.42
7,C16,76,Stomach,0,18138,5.9,8.4,0.66
41,C18-C21,76,Colorectum,0,28884,9.2,13.4,0.99
11,C22,76,Liver and intrahepatic bile ducts,0,13041,4.3,6.1,0.50
12,C23,76,Gallbladder,0,1458,0.47,0.68,0.05
13,C25,76,Pancreas,0,14294,4.6,6.6,0.52
14,C32,76,Larynx,0,5511,1.9,2.6,0.23
15,C33-34,76,"Trachea, bronchus and lung",0,38292,12.5,17.8,1.5
16,C43,76,Melanoma of skin,0,2273,0.73,1.1,0.08
18,C45,76,Mesothelioma,0,148,0.05,0.07,0.01
19,C46,76,Kaposi sarcoma,0,120,0.04,0.06,0.00
20,C50,76,Breast,0,22189,13.9,20.2,1.5
21,C51,76,Vulva,0,545,0.29,0.50,0.03
22,C52,76,Vagina,0,167,0.09,0.15,0.01
23,C53,76,Cervix uteri,0,9905,6.5,9.0,0.69
24,C54,76,Corpus uteri,0,3333,2.0,3.0,0.24
25,C56,76,Ovary,0,5235,3.3,4.8,0.38
26,C60,76,Penis,0,547,0.40,0.52,0.04
27,C61,76,Prostate,0,19958,13.5,18.9,1.1
28,C62,76,Testis,0,459,0.38,0.43,0.03
29,C64,76,Kidney,0,4460,1.5,2.1,0.17
30,C67,76,Bladder,0,6146,1.8,2.9,0.17
31,C70-72,76," Brain, central nervous system",0,10998,4.0,5.1,0.43
32,C73,76,Thyroid,0,1103,0.35,0.51,0.04
33,C81,76,Hodgkin lymphoma,0,640,0.23,0.30,0.02
34,C82-86+C88,76,Non-Hodgkin lymphoma,0,5372,1.8,2.5,0.19
35,C90,76,Multiple myeloma,0,4397,1.4,2.0,0.17
36,C91-95,76,Leukaemia,0,8790,3.2,4.1,0.29
