Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,124,All cancers excl. non-melanoma skin cancer,0,99555,95.7,259.3,8.7
1,C00-06,124,"Lip, oral cavity",0,741,0.80,1.9,0.09
2,C07-08,124,Salivary glands,0,168,0.16,0.44,0.01
3,C09-10,124,Oropharynx,0,553,0.63,1.4,0.07
4,C11,124,Nasopharynx,0,183,0.24,0.48,0.03
5,C12-13,124,Hypopharynx,0,107,0.12,0.28,0.01
6,C15,124,Oesophagus,0,2642,2.8,6.9,0.32
7,C16,124,Stomach,0,2391,2.4,6.2,0.23
41,C18-C21,124,Colorectum,0,11521,10.6,30.0,0.84
11,C22,124,Liver and intrahepatic bile ducts,0,4130,4.3,10.8,0.47
12,C23,124,Gallbladder,0,317,0.30,0.83,0.03
13,C25,124,Pancreas,0,6534,6.4,17.0,0.67
14,C32,124,Larynx,0,458,0.43,1.2,0.05
15,C33-34,124,"Trachea, bronchus and lung",0,22970,21.5,59.8,2.3
16,C43,124,Melanoma of skin,0,1369,1.4,3.6,0.13
18,C45,124,Mesothelioma,0,605,0.51,1.6,0.05
19,C46,124,Kaposi sarcoma,0,7,0.01,0.02,0.00
20,C50,124,Breast,0,6827,13.4,35.3,1.2
21,C51,124,Vulva,0,307,0.47,1.6,0.04
22,C52,124,Vagina,0,67,0.11,0.35,0.01
23,C53,124,Cervix uteri,0,760,2.3,3.9,0.23
24,C54,124,Corpus uteri,0,1598,3.3,8.3,0.39
25,C56,124,Ovary,0,2274,4.7,11.8,0.52
26,C60,124,Penis,0,72,0.15,0.38,0.01
27,C61,124,Prostate,0,5847,10.0,30.7,0.62
28,C62,124,Testis,0,61,0.26,0.32,0.02
29,C64,124,Kidney,0,2677,2.5,7.0,0.25
30,C67,124,Bladder,0,3503,2.8,9.1,0.21
31,C70-72,124," Brain, central nervous system",0,2765,3.8,7.2,0.40
32,C73,124,Thyroid,0,351,0.33,0.91,0.03
33,C81,124,Hodgkin lymphoma,0,141,0.18,0.37,0.02
34,C82-86+C88,124,Non-Hodgkin lymphoma,0,3879,3.5,10.1,0.31
35,C90,124,Multiple myeloma,0,2051,1.7,5.3,0.15
36,C91-95,124,Leukaemia,0,3808,3.7,9.9,0.31
