Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,160,All cancers excl. non-melanoma skin cancer,0,2560612,96.0,181.4,10.3
1,C00-06,160,"Lip, oral cavity",0,20831,0.78,1.5,0.09
2,C07-08,160,Salivary glands,0,3647,0.14,0.26,0.02
3,C09-10,160,Oropharynx,0,4924,0.19,0.35,0.02
4,C11,160,Nasopharynx,0,28408,1.2,2.0,0.14
5,C12-13,160,Hypopharynx,0,5775,0.23,0.41,0.03
6,C15,160,Oesophagus,0,187467,6.7,13.3,0.79
7,C16,160,Stomach,0,260372,9.4,18.4,1.1
41,C18-C21,160,Colorectum,0,240010,8.6,17.0,0.89
11,C22,160,Liver and intrahepatic bile ducts,0,316544,12.6,22.4,1.4
12,C23,160,Gallbladder,0,24543,0.87,1.7,0.10
13,C25,160,Pancreas,0,106295,3.9,7.5,0.45
14,C32,160,Larynx,0,16852,0.62,1.2,0.07
15,C33-34,160,"Trachea, bronchus and lung",0,733291,26.7,51.9,3.1
16,C43,160,Melanoma of skin,0,5385,0.20,0.38,0.02
18,C45,160,Mesothelioma,0,1681,0.07,0.12,0.01
19,C46,160,Kaposi sarcoma,0,451,0.02,0.03,0.00
20,C50,160,Breast,0,76562,6.2,11.1,0.68
21,C51,160,Vulva,0,1956,0.14,0.28,0.01
22,C52,160,Vagina,0,1057,0.08,0.15,0.01
23,C53,160,Cervix uteri,0,55694,4.5,8.1,0.51
24,C54,160,Corpus uteri,0,13511,1.1,2.0,0.12
25,C56,160,Ovary,0,32646,2.6,4.7,0.31
26,C60,160,Penis,0,2275,0.18,0.32,0.02
27,C61,160,Prostate,0,47522,3.3,6.6,0.23
28,C62,160,Testis,0,782,0.07,0.11,0.01
29,C64,160,Kidney,0,23991,0.91,1.7,0.10
30,C67,160,Bladder,0,41367,1.3,2.9,0.12
31,C70-72,160," Brain, central nervous system",0,56648,2.5,4.0,0.27
32,C73,160,Thyroid,0,11564,0.45,0.82,0.05
33,C81,160,Hodgkin lymphoma,0,1931,0.08,0.14,0.01
34,C82-86+C88,160,Non-Hodgkin lymphoma,0,39700,1.6,2.8,0.17
35,C90,160,Multiple myeloma,0,18662,0.72,1.3,0.09
36,C91-95,160,Leukaemia,0,50074,2.4,3.6,0.24
