Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,170,All cancers excl. non-melanoma skin cancer,0,56048,80.6,108.8,8.3
1,C00-06,170,"Lip, oral cavity",0,413,0.57,0.80,0.06
2,C07-08,170,Salivary glands,0,130,0.18,0.25,0.02
3,C09-10,170,Oropharynx,0,207,0.29,0.40,0.03
4,C11,170,Nasopharynx,0,90,0.14,0.17,0.01
5,C12-13,170,Hypopharynx,0,41,0.06,0.08,0.01
6,C15,170,Oesophagus,0,924,1.3,1.8,0.13
7,C16,170,Stomach,0,6901,9.9,13.4,1.1
41,C18-C21,170,Colorectum,0,5640,8.0,11.0,0.85
11,C22,170,Liver and intrahepatic bile ducts,0,2396,3.3,4.7,0.37
12,C23,170,Gallbladder,0,519,0.74,1.0,0.09
13,C25,170,Pancreas,0,2573,3.6,5.0,0.41
14,C32,170,Larynx,0,536,0.74,1.0,0.08
15,C33-34,170,"Trachea, bronchus and lung",0,6124,8.5,11.9,0.99
16,C43,170,Melanoma of skin,0,463,0.66,0.90,0.07
18,C45,170,Mesothelioma,0,129,0.19,0.25,0.02
19,C46,170,Kaposi sarcoma,0,58,0.09,0.11,0.01
20,C50,170,Breast,0,4752,13.3,18.1,1.4
21,C51,170,Vulva,0,114,0.27,0.43,0.02
22,C52,170,Vagina,0,57,0.14,0.22,0.01
23,C53,170,Cervix uteri,0,2435,6.9,9.3,0.74
24,C54,170,Corpus uteri,0,662,1.8,2.5,0.22
25,C56,170,Ovary,0,1445,4.1,5.5,0.47
26,C60,170,Penis,0,154,0.50,0.61,0.05
27,C61,170,Prostate,0,4304,12.2,17.0,0.99
28,C62,170,Testis,0,184,0.64,0.73,0.05
29,C64,170,Kidney,0,829,1.2,1.6,0.14
30,C67,170,Bladder,0,805,1.0,1.6,0.10
31,C70-72,170," Brain, central nervous system",0,1636,2.6,3.2,0.27
32,C73,170,Thyroid,0,517,0.74,1.0,0.08
33,C81,170,Hodgkin lymphoma,0,230,0.35,0.45,0.04
34,C82-86+C88,170,Non-Hodgkin lymphoma,0,1873,2.8,3.6,0.31
35,C90,170,Multiple myeloma,0,1039,1.5,2.0,0.19
36,C91-95,170,Leukaemia,0,2428,4.0,4.7,0.36
