Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,191,All cancers excl. non-melanoma skin cancer,0,13737,125.1,338.4,13.6
1,C00-06,191,"Lip, oral cavity",0,141,1.6,3.5,0.19
2,C07-08,191,Salivary glands,0,22,0.16,0.54,0.02
3,C09-10,191,Oropharynx,0,101,1.1,2.5,0.14
4,C11,191,Nasopharynx,0,13,0.15,0.32,0.02
5,C12-13,191,Hypopharynx,0,77,0.86,1.9,0.12
6,C15,191,Oesophagus,0,181,2.0,4.5,0.25
7,C16,191,Stomach,0,662,5.8,16.3,0.66
41,C18-C21,191,Colorectum,0,2263,18.5,55.8,2.0
11,C22,191,Liver and intrahepatic bile ducts,0,500,4.5,12.3,0.56
12,C23,191,Gallbladder,0,119,0.94,2.9,0.11
13,C25,191,Pancreas,0,774,7.0,19.1,0.85
14,C32,191,Larynx,0,134,1.4,3.3,0.18
15,C33-34,191,"Trachea, bronchus and lung",0,2951,29.6,72.7,3.7
16,C43,191,Melanoma of skin,0,224,2.3,5.5,0.26
18,C45,191,Mesothelioma,0,89,0.76,2.2,0.09
19,C46,191,Kaposi sarcoma,0,1,0.01,0.02,0.00
20,C50,191,Breast,0,622,11.8,29.6,1.4
21,C51,191,Vulva,0,59,0.63,2.8,0.06
22,C52,191,Vagina,0,10,0.12,0.48,0.01
23,C53,191,Cervix uteri,0,138,2.9,6.6,0.33
24,C54,191,Corpus uteri,0,174,2.7,8.3,0.33
25,C56,191,Ovary,0,340,6.4,16.2,0.77
26,C60,191,Penis,0,11,0.21,0.56,0.02
27,C61,191,Prostate,0,908,15.5,46.3,1.4
28,C62,191,Testis,0,16,0.60,0.82,0.05
29,C64,191,Kidney,0,396,3.5,9.8,0.40
30,C67,191,Bladder,0,552,4.0,13.6,0.42
31,C70-72,191," Brain, central nervous system",0,391,4.8,9.6,0.52
32,C73,191,Thyroid,0,34,0.30,0.84,0.03
33,C81,191,Hodgkin lymphoma,0,15,0.15,0.37,0.02
34,C82-86+C88,191,Non-Hodgkin lymphoma,0,335,2.7,8.3,0.32
35,C90,191,Multiple myeloma,0,216,1.7,5.3,0.19
36,C91-95,191,Leukaemia,0,422,3.7,10.4,0.38
