Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,208,All cancers excl. non-melanoma skin cancer,0,17111,106.1,293.3,11.0
1,C00-06,208,"Lip, oral cavity",0,126,0.93,2.2,0.11
2,C07-08,208,Salivary glands,0,24,0.12,0.41,0.01
3,C09-10,208,Oropharynx,0,134,1.1,2.3,0.14
4,C11,208,Nasopharynx,0,15,0.09,0.26,0.01
5,C12-13,208,Hypopharynx,0,73,0.56,1.3,0.07
6,C15,208,Oesophagus,0,486,3.2,8.3,0.39
7,C16,208,Stomach,0,473,3.3,8.1,0.37
41,C18-C21,208,Colorectum,0,1992,11.3,34.1,1.2
11,C22,208,Liver and intrahepatic bile ducts,0,596,3.8,10.2,0.45
12,C23,208,Gallbladder,0,58,0.32,0.99,0.03
13,C25,208,Pancreas,0,1221,7.9,20.9,0.92
14,C32,208,Larynx,0,79,0.54,1.4,0.06
15,C33-34,208,"Trachea, bronchus and lung",0,3738,24.5,64.1,2.9
16,C43,208,Melanoma of skin,0,321,2.1,5.5,0.21
18,C45,208,Mesothelioma,0,110,0.62,1.9,0.07
19,C46,208,Kaposi sarcoma,0,3,0.02,0.05,0.00
20,C50,208,Breast,0,1120,14.1,38.2,1.5
21,C51,208,Vulva,0,42,0.38,1.4,0.03
22,C52,208,Vagina,0,8,0.07,0.27,0.01
23,C53,208,Cervix uteri,0,115,1.8,3.9,0.19
24,C54,208,Corpus uteri,0,179,1.9,6.1,0.22
25,C56,208,Ovary,0,368,4.9,12.5,0.57
26,C60,208,Penis,0,19,0.24,0.66,0.02
27,C61,208,Prostate,0,1381,14.6,47.6,1.1
28,C62,208,Testis,0,9,0.19,0.31,0.02
29,C64,208,Kidney,0,325,2.1,5.6,0.24
30,C67,208,Bladder,0,531,2.7,9.1,0.27
31,C70-72,208," Brain, central nervous system",0,543,4.6,9.3,0.51
32,C73,208,Thyroid,0,48,0.28,0.82,0.03
33,C81,208,Hodgkin lymphoma,0,31,0.20,0.53,0.02
34,C82-86+C88,208,Non-Hodgkin lymphoma,0,404,2.3,6.9,0.24
35,C90,208,Multiple myeloma,0,302,1.7,5.2,0.19
36,C91-95,208,Leukaemia,0,570,3.3,9.8,0.32
