Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,222,All cancers excl. non-melanoma skin cancer,0,5239,64.2,80.0,6.2
1,C00-06,222,"Lip, oral cavity",0,58,0.66,0.89,0.06
2,C07-08,222,Salivary glands,0,13,0.15,0.20,0.01
3,C09-10,222,Oropharynx,0,12,0.14,0.18,0.01
4,C11,222,Nasopharynx,0,4,0.04,0.06,0.00
5,C12-13,222,Hypopharynx,0,3,0.02,0.05,0.00
6,C15,222,Oesophagus,0,79,0.95,1.2,0.10
7,C16,222,Stomach,0,593,7.0,9.1,0.70
41,C18-C21,222,Colorectum,0,373,4.5,5.7,0.47
11,C22,222,Liver and intrahepatic bile ducts,0,439,5.2,6.7,0.55
12,C23,222,Gallbladder,0,75,0.92,1.1,0.10
13,C25,222,Pancreas,0,204,2.4,3.1,0.26
14,C32,222,Larynx,0,32,0.41,0.49,0.05
15,C33-34,222,"Trachea, bronchus and lung",0,348,4.2,5.3,0.43
16,C43,222,Melanoma of skin,0,17,0.21,0.26,0.02
18,C45,222,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,222,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,222,Breast,0,332,7.8,9.5,0.81
21,C51,222,Vulva,0,14,0.25,0.40,0.02
22,C52,222,Vagina,0,4,0.08,0.11,0.01
23,C53,222,Cervix uteri,0,367,8.4,10.5,0.89
24,C54,222,Corpus uteri,0,36,0.81,1.0,0.09
25,C56,222,Ovary,0,116,2.7,3.3,0.29
26,C60,222,Penis,0,8,0.23,0.26,0.02
27,C61,222,Prostate,0,334,7.8,10.9,0.54
28,C62,222,Testis,0,10,0.28,0.33,0.02
29,C64,222,Kidney,0,64,0.84,0.98,0.10
30,C67,222,Bladder,0,58,0.59,0.89,0.05
31,C70-72,222," Brain, central nervous system",0,240,3.2,3.7,0.31
32,C73,222,Thyroid,0,35,0.42,0.53,0.04
33,C81,222,Hodgkin lymphoma,0,15,0.18,0.23,0.02
34,C82-86+C88,222,Non-Hodgkin lymphoma,0,96,1.3,1.5,0.13
35,C90,222,Multiple myeloma,0,46,0.60,0.70,0.07
36,C91-95,222,Leukaemia,0,397,5.2,6.1,0.46
