Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,232,All cancers excl. non-melanoma skin cancer,0,1697,71.3,46.3,7.8
1,C00-06,232,"Lip, oral cavity",0,25,1.1,0.68,0.14
2,C07-08,232,Salivary glands,0,7,0.26,0.19,0.03
3,C09-10,232,Oropharynx,0,0,0.00,0.00,0.00
4,C11,232,Nasopharynx,0,23,0.99,0.63,0.11
5,C12-13,232,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,232,Oesophagus,0,60,2.7,1.6,0.31
7,C16,232,Stomach,0,68,2.9,1.9,0.32
41,C18-C21,232,Colorectum,0,123,5.2,3.4,0.58
11,C22,232,Liver and intrahepatic bile ducts,0,92,4.1,2.5,0.49
12,C23,232,Gallbladder,0,16,0.69,0.44,0.09
13,C25,232,Pancreas,0,27,1.2,0.74,0.14
14,C32,232,Larynx,0,14,0.61,0.38,0.07
15,C33-34,232,"Trachea, bronchus and lung",0,63,2.8,1.7,0.34
16,C43,232,Melanoma of skin,0,4,0.15,0.11,0.02
18,C45,232,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,232,Kaposi sarcoma,0,1,0.04,0.03,0.01
20,C50,232,Breast,0,291,22.4,15.9,2.4
21,C51,232,Vulva,0,10,0.85,0.55,0.11
22,C52,232,Vagina,0,2,0.18,0.11,0.03
23,C53,232,Cervix uteri,0,150,12.7,8.2,1.5
24,C54,232,Corpus uteri,0,13,1.0,0.71,0.11
25,C56,232,Ovary,0,65,5.5,3.6,0.65
26,C60,232,Penis,0,0,0.00,0.00,0.00
27,C61,232,Prostate,0,71,6.8,3.9,0.72
28,C62,232,Testis,0,3,0.29,0.16,0.03
29,C64,232,Kidney,0,38,1.6,1.0,0.18
30,C67,232,Bladder,0,33,1.4,0.90,0.16
31,C70-72,232," Brain, central nervous system",0,31,1.2,0.85,0.12
32,C73,232,Thyroid,0,31,1.3,0.85,0.15
33,C81,232,Hodgkin lymphoma,0,10,0.24,0.27,0.02
34,C82-86+C88,232,Non-Hodgkin lymphoma,0,95,3.7,2.6,0.39
35,C90,232,Multiple myeloma,0,14,0.68,0.38,0.10
36,C91-95,232,Leukaemia,0,97,3.8,2.7,0.40
