Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,233,All cancers excl. non-melanoma skin cancer,0,4049,113.8,306.3,12.7
1,C00-06,233,"Lip, oral cavity",0,42,1.7,3.2,0.21
2,C07-08,233,Salivary glands,0,4,0.16,0.30,0.01
3,C09-10,233,Oropharynx,0,22,0.79,1.7,0.11
4,C11,233,Nasopharynx,0,2,0.08,0.15,0.01
5,C12-13,233,Hypopharynx,0,28,1.1,2.1,0.15
6,C15,233,Oesophagus,0,84,3.0,6.4,0.40
7,C16,233,Stomach,0,289,8.8,21.9,1.0
41,C18-C21,233,Colorectum,0,556,13.6,42.1,1.6
11,C22,233,Liver and intrahepatic bile ducts,0,131,4.4,9.9,0.56
12,C23,233,Gallbladder,0,20,0.49,1.5,0.06
13,C25,233,Pancreas,0,278,8.0,21.0,0.99
14,C32,233,Larynx,0,34,1.1,2.6,0.15
15,C33-34,233,"Trachea, bronchus and lung",0,653,20.1,49.4,2.6
16,C43,233,Melanoma of skin,0,43,1.2,3.3,0.11
18,C45,233,Mesothelioma,0,3,0.11,0.23,0.02
19,C46,233,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,233,Breast,0,269,13.3,38.8,1.5
21,C51,233,Vulva,0,11,0.29,1.6,0.02
22,C52,233,Vagina,0,1,0.02,0.14,0.00
23,C53,233,Cervix uteri,0,60,3.9,8.7,0.41
24,C54,233,Corpus uteri,0,58,2.6,8.4,0.31
25,C56,233,Ovary,0,95,5.1,13.7,0.61
26,C60,233,Penis,0,5,0.32,0.80,0.04
27,C61,233,Prostate,0,352,21.7,56.0,2.0
28,C62,233,Testis,0,2,0.21,0.32,0.03
29,C64,233,Kidney,0,133,3.5,10.1,0.40
30,C67,233,Bladder,0,131,2.9,9.9,0.32
31,C70-72,233," Brain, central nervous system",0,106,4.3,8.0,0.48
32,C73,233,Thyroid,0,15,0.32,1.1,0.03
33,C81,233,Hodgkin lymphoma,0,9,0.32,0.68,0.05
34,C82-86+C88,233,Non-Hodgkin lymphoma,0,114,2.9,8.6,0.34
35,C90,233,Multiple myeloma,0,83,2.1,6.3,0.26
36,C91-95,233,Leukaemia,0,132,3.4,10.0,0.38
