Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,231,All cancers excl. non-melanoma skin cancer,0,53461,72.6,44.3,7.9
1,C00-06,231,"Lip, oral cavity",0,744,1.0,0.62,0.12
2,C07-08,231,Salivary glands,0,334,0.47,0.28,0.05
3,C09-10,231,Oropharynx,0,78,0.11,0.06,0.01
4,C11,231,Nasopharynx,0,527,0.63,0.44,0.06
5,C12-13,231,Hypopharynx,0,50,0.07,0.04,0.01
6,C15,231,Oesophagus,0,1422,2.2,1.2,0.26
7,C16,231,Stomach,0,2212,3.1,1.8,0.34
41,C18-C21,231,Colorectum,0,4863,6.7,4.0,0.76
11,C22,231,Liver and intrahepatic bile ducts,0,2683,4.0,2.2,0.48
12,C23,231,Gallbladder,0,375,0.57,0.31,0.07
13,C25,231,Pancreas,0,842,1.3,0.70,0.15
14,C32,231,Larynx,0,328,0.48,0.27,0.06
15,C33-34,231,"Trachea, bronchus and lung",0,2421,3.6,2.0,0.41
16,C43,231,Melanoma of skin,0,117,0.16,0.10,0.02
18,C45,231,Mesothelioma,0,11,0.02,0.01,0.00
19,C46,231,Kaposi sarcoma,0,95,0.11,0.08,0.01
20,C50,231,Breast,0,9626,24.0,16.0,2.6
21,C51,231,Vulva,0,274,0.70,0.45,0.07
22,C52,231,Vagina,0,137,0.39,0.23,0.06
23,C53,231,Cervix uteri,0,5975,16.8,9.9,2.0
24,C54,231,Corpus uteri,0,314,0.89,0.52,0.10
25,C56,231,Ovary,0,1945,5.3,3.2,0.62
26,C60,231,Penis,0,20,0.05,0.03,0.00
27,C61,231,Prostate,0,1397,4.9,2.3,0.56
28,C62,231,Testis,0,114,0.29,0.19,0.03
29,C64,231,Kidney,0,1223,1.6,1.0,0.16
30,C67,231,Bladder,0,923,1.4,0.76,0.17
31,C70-72,231," Brain, central nervous system",0,803,0.98,0.66,0.10
32,C73,231,Thyroid,0,906,1.4,0.75,0.18
33,C81,231,Hodgkin lymphoma,0,346,0.29,0.29,0.02
34,C82-86+C88,231,Non-Hodgkin lymphoma,0,2343,2.8,1.9,0.30
35,C90,231,Multiple myeloma,0,310,0.46,0.26,0.06
36,C91-95,231,Leukaemia,0,3482,3.9,2.9,0.39
