Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,242,All cancers excl. non-melanoma skin cancer,0,863,98.0,94.9,10.1
1,C00-06,242,"Lip, oral cavity",0,8,0.85,0.88,0.09
2,C07-08,242,Salivary glands,0,1,0.09,0.11,0.01
3,C09-10,242,Oropharynx,0,0,0.00,0.00,0.00
4,C11,242,Nasopharynx,0,2,0.20,0.22,0.02
5,C12-13,242,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,242,Oesophagus,0,16,1.9,1.8,0.16
7,C16,242,Stomach,0,26,3.0,2.9,0.30
41,C18-C21,242,Colorectum,0,58,7.4,6.4,0.73
11,C22,242,Liver and intrahepatic bile ducts,0,79,8.7,8.7,1.0
12,C23,242,Gallbladder,0,7,0.78,0.77,0.12
13,C25,242,Pancreas,0,23,2.8,2.5,0.27
14,C32,242,Larynx,0,5,0.53,0.55,0.05
15,C33-34,242,"Trachea, bronchus and lung",0,58,6.6,6.4,0.77
16,C43,242,Melanoma of skin,0,0,0.00,0.00,0.00
18,C45,242,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,242,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,242,Breast,0,182,38.9,40.5,4.2
21,C51,242,Vulva,0,0,0.00,0.00,0.00
22,C52,242,Vagina,0,1,0.21,0.22,0.03
23,C53,242,Cervix uteri,0,105,22.5,23.4,2.2
24,C54,242,Corpus uteri,0,21,4.5,4.7,0.67
25,C56,242,Ovary,0,35,7.5,7.8,0.74
26,C60,242,Penis,0,0,0.00,0.00,0.00
27,C61,242,Prostate,0,46,13.2,10.0,1.3
28,C62,242,Testis,0,4,0.98,0.87,0.10
29,C64,242,Kidney,0,0,0.00,0.00,0.00
30,C67,242,Bladder,0,10,1.1,1.1,0.12
31,C70-72,242," Brain, central nervous system",0,1,0.09,0.11,0.01
32,C73,242,Thyroid,0,16,1.9,1.8,0.24
33,C81,242,Hodgkin lymphoma,0,1,0.11,0.11,0.01
34,C82-86+C88,242,Non-Hodgkin lymphoma,0,24,2.6,2.6,0.27
35,C90,242,Multiple myeloma,0,8,0.87,0.88,0.12
36,C91-95,242,Leukaemia,0,37,4.1,4.1,0.36
