Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,276,All cancers excl. non-melanoma skin cancer,0,251875,99.4,300.3,10.7
1,C00-06,276,"Lip, oral cavity",0,2295,1.1,2.7,0.13
2,C07-08,276,Salivary glands,0,468,0.17,0.56,0.02
3,C09-10,276,Oropharynx,0,1962,1.0,2.3,0.13
4,C11,276,Nasopharynx,0,191,0.10,0.23,0.01
5,C12-13,276,Hypopharynx,0,979,0.50,1.2,0.07
6,C15,276,Oesophagus,0,6399,2.9,7.6,0.36
7,C16,276,Stomach,0,8729,3.6,10.4,0.40
41,C18-C21,276,Colorectum,0,26544,9.5,31.6,1.0
11,C22,276,Liver and intrahepatic bile ducts,0,8712,3.5,10.4,0.42
12,C23,276,Gallbladder,0,1057,0.37,1.3,0.04
13,C25,276,Pancreas,0,21292,8.2,25.4,0.96
14,C32,276,Larynx,0,1482,0.66,1.8,0.08
15,C33-34,276,"Trachea, bronchus and lung",0,47731,21.4,56.9,2.7
16,C43,276,Melanoma of skin,0,3303,1.4,3.9,0.14
18,C45,276,Mesothelioma,0,1534,0.49,1.8,0.06
19,C46,276,Kaposi sarcoma,0,21,0.01,0.03,0.00
20,C50,276,Breast,0,20871,16.0,49.3,1.7
21,C51,276,Vulva,0,1190,0.71,2.8,0.07
22,C52,276,Vagina,0,215,0.13,0.51,0.01
23,C53,276,Cervix uteri,0,2071,2.3,4.9,0.25
24,C54,276,Corpus uteri,0,2531,1.8,6.0,0.21
25,C56,276,Ovary,0,5366,4.2,12.7,0.50
26,C60,276,Penis,0,279,0.23,0.67,0.03
27,C61,276,Prostate,0,18015,11.6,43.4,1.0
28,C62,276,Testis,0,176,0.31,0.42,0.03
29,C64,276,Kidney,0,7856,2.7,9.4,0.29
30,C67,276,Bladder,0,9180,2.7,10.9,0.27
31,C70-72,276," Brain, central nervous system",0,6570,3.9,7.8,0.43
32,C73,276,Thyroid,0,706,0.25,0.84,0.03
33,C81,276,Hodgkin lymphoma,0,330,0.14,0.39,0.02
34,C82-86+C88,276,Non-Hodgkin lymphoma,0,7879,2.7,9.4,0.29
35,C90,276,Multiple myeloma,0,4514,1.6,5.4,0.17
36,C91-95,276,Leukaemia,0,9378,3.4,11.2,0.34
