Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,332,All cancers excl. non-melanoma skin cancer,0,8972,91.8,76.8,7.9
1,C00-06,332,"Lip, oral cavity",0,69,0.70,0.59,0.05
2,C07-08,332,Salivary glands,0,68,0.72,0.58,0.05
3,C09-10,332,Oropharynx,0,58,0.63,0.50,0.07
4,C11,332,Nasopharynx,0,19,0.21,0.16,0.03
5,C12-13,332,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,332,Oesophagus,0,182,1.9,1.6,0.20
7,C16,332,Stomach,0,815,8.5,7.0,0.74
41,C18-C21,332,Colorectum,0,747,7.6,6.4,0.66
11,C22,332,Liver and intrahepatic bile ducts,0,748,7.8,6.4,0.85
12,C23,332,Gallbladder,0,47,0.53,0.40,0.07
13,C25,332,Pancreas,0,271,2.9,2.3,0.31
14,C32,332,Larynx,0,62,0.66,0.53,0.06
15,C33-34,332,"Trachea, bronchus and lung",0,509,5.5,4.4,0.61
16,C43,332,Melanoma of skin,0,20,0.21,0.17,0.02
18,C45,332,Mesothelioma,0,4,0.04,0.03,0.00
19,C46,332,Kaposi sarcoma,0,16,0.18,0.14,0.02
20,C50,332,Breast,0,754,14.3,12.8,1.5
21,C51,332,Vulva,0,0,0.00,0.00,0.00
22,C52,332,Vagina,0,12,0.23,0.20,0.02
23,C53,332,Cervix uteri,0,451,8.6,7.6,0.76
24,C54,332,Corpus uteri,0,53,1.1,0.90,0.13
25,C56,332,Ovary,0,170,3.1,2.9,0.33
26,C60,332,Penis,0,23,0.51,0.40,0.05
27,C61,332,Prostate,0,1513,35.9,26.2,2.1
28,C62,332,Testis,0,20,0.38,0.35,0.01
29,C64,332,Kidney,0,87,0.88,0.74,0.09
30,C67,332,Bladder,0,120,1.1,1.0,0.04
31,C70-72,332," Brain, central nervous system",0,27,0.29,0.23,0.03
32,C73,332,Thyroid,0,29,0.31,0.25,0.03
33,C81,332,Hodgkin lymphoma,0,35,0.36,0.30,0.03
34,C82-86+C88,332,Non-Hodgkin lymphoma,0,183,1.9,1.6,0.21
35,C90,332,Multiple myeloma,0,74,0.80,0.63,0.09
36,C91-95,332,Leukaemia,0,310,2.9,2.7,0.21
