Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,340,All cancers excl. non-melanoma skin cancer,0,6965,82.7,68.1,8.8
1,C00-06,340,"Lip, oral cavity",0,30,0.34,0.29,0.03
2,C07-08,340,Salivary glands,0,16,0.18,0.16,0.02
3,C09-10,340,Oropharynx,0,5,0.08,0.05,0.01
4,C11,340,Nasopharynx,0,7,0.09,0.07,0.01
5,C12-13,340,Hypopharynx,0,3,0.03,0.03,0.00
6,C15,340,Oesophagus,0,110,1.4,1.1,0.13
7,C16,340,Stomach,0,631,8.0,6.2,1.0
41,C18-C21,340,Colorectum,0,372,4.3,3.6,0.43
11,C22,340,Liver and intrahepatic bile ducts,0,394,4.8,3.9,0.54
12,C23,340,Gallbladder,0,86,1.0,0.84,0.13
13,C25,340,Pancreas,0,269,3.3,2.6,0.38
14,C32,340,Larynx,0,131,1.7,1.3,0.21
15,C33-34,340,"Trachea, bronchus and lung",0,392,4.9,3.8,0.57
16,C43,340,Melanoma of skin,0,25,0.35,0.24,0.05
18,C45,340,Mesothelioma,0,16,0.20,0.16,0.02
19,C46,340,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,340,Breast,0,504,11.2,9.9,1.2
21,C51,340,Vulva,0,6,0.13,0.12,0.01
22,C52,340,Vagina,0,8,0.19,0.16,0.03
23,C53,340,Cervix uteri,0,669,15.6,13.1,1.8
24,C54,340,Corpus uteri,0,25,0.60,0.49,0.09
25,C56,340,Ovary,0,152,3.2,3.0,0.33
26,C60,340,Penis,0,36,0.91,0.70,0.08
27,C61,340,Prostate,0,552,14.5,10.8,1.3
28,C62,340,Testis,0,34,0.60,0.67,0.05
29,C64,340,Kidney,0,117,1.3,1.1,0.11
30,C67,340,Bladder,0,72,0.79,0.70,0.08
31,C70-72,340," Brain, central nervous system",0,351,4.0,3.4,0.41
32,C73,340,Thyroid,0,76,0.95,0.74,0.11
33,C81,340,Hodgkin lymphoma,0,86,0.84,0.84,0.06
34,C82-86+C88,340,Non-Hodgkin lymphoma,0,359,4.4,3.5,0.52
35,C90,340,Multiple myeloma,0,86,1.1,0.84,0.12
36,C91-95,340,Leukaemia,0,493,5.2,4.8,0.48
