Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,368,All cancers excl. non-melanoma skin cancer,0,21428,83.9,50.8,9.0
1,C00-06,368,"Lip, oral cavity",0,171,0.69,0.41,0.08
2,C07-08,368,Salivary glands,0,63,0.27,0.15,0.03
3,C09-10,368,Oropharynx,0,12,0.05,0.03,0.01
4,C11,368,Nasopharynx,0,116,0.40,0.28,0.04
5,C12-13,368,Hypopharynx,0,10,0.04,0.02,0.00
6,C15,368,Oesophagus,0,269,1.1,0.64,0.13
7,C16,368,Stomach,0,1060,4.3,2.5,0.49
41,C18-C21,368,Colorectum,0,1438,5.7,3.4,0.64
11,C22,368,Liver and intrahepatic bile ducts,0,777,3.4,1.8,0.39
12,C23,368,Gallbladder,0,155,0.67,0.37,0.08
13,C25,368,Pancreas,0,752,3.2,1.8,0.40
14,C32,368,Larynx,0,377,1.7,0.89,0.20
15,C33-34,368,"Trachea, bronchus and lung",0,2613,11.6,6.2,1.4
16,C43,368,Melanoma of skin,0,31,0.12,0.07,0.01
18,C45,368,Mesothelioma,0,24,0.10,0.06,0.01
19,C46,368,Kaposi sarcoma,0,17,0.07,0.04,0.01
20,C50,368,Breast,0,3372,23.5,16.2,2.5
21,C51,368,Vulva,0,14,0.11,0.07,0.01
22,C52,368,Vagina,0,10,0.08,0.05,0.01
23,C53,368,Cervix uteri,0,216,1.6,1.0,0.19
24,C54,368,Corpus uteri,0,196,1.6,0.94,0.18
25,C56,368,Ovary,0,693,5.1,3.3,0.59
26,C60,368,Penis,0,2,0.01,0.01,0.00
27,C61,368,Prostate,0,426,4.9,2.0,0.30
28,C62,368,Testis,0,52,0.35,0.24,0.04
29,C64,368,Kidney,0,448,1.8,1.1,0.20
30,C67,368,Bladder,0,726,3.3,1.7,0.36
31,C70-72,368," Brain, central nervous system",0,1485,5.0,3.5,0.52
32,C73,368,Thyroid,0,231,0.93,0.55,0.11
33,C81,368,Hodgkin lymphoma,0,330,0.91,0.78,0.08
34,C82-86+C88,368,Non-Hodgkin lymphoma,0,1013,3.8,2.4,0.42
35,C90,368,Multiple myeloma,0,404,1.8,0.96,0.21
36,C91-95,368,Leukaemia,0,1694,5.5,4.0,0.56
