Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,410,All cancers excl. non-melanoma skin cancer,0,97268,76.8,189.5,7.5
1,C00-06,410,"Lip, oral cavity",0,579,0.48,1.1,0.05
2,C07-08,410,Salivary glands,0,174,0.14,0.34,0.02
3,C09-10,410,Oropharynx,0,218,0.18,0.42,0.02
4,C11,410,Nasopharynx,0,202,0.20,0.39,0.02
5,C12-13,410,Hypopharynx,0,302,0.24,0.59,0.03
6,C15,410,Oesophagus,0,1521,1.2,3.0,0.14
7,C16,410,Stomach,0,8517,6.5,16.6,0.58
41,C18-C21,410,Colorectum,0,11595,8.6,22.6,0.77
11,C22,410,Liver and intrahepatic bile ducts,0,12595,10.7,24.5,1.2
12,C23,410,Gallbladder,0,2091,1.5,4.1,0.15
13,C25,410,Pancreas,0,7582,5.9,14.8,0.66
14,C32,410,Larynx,0,423,0.31,0.82,0.03
15,C33-34,410,"Trachea, bronchus and lung",0,22474,16.7,43.8,1.8
16,C43,410,Melanoma of skin,0,336,0.28,0.65,0.03
18,C45,410,Mesothelioma,0,175,0.15,0.34,0.02
19,C46,410,Kaposi sarcoma,0,16,0.01,0.03,0.00
20,C50,410,Breast,0,2913,5.8,11.4,0.62
21,C51,410,Vulva,0,53,0.06,0.21,0.00
22,C52,410,Vagina,0,41,0.06,0.16,0.01
23,C53,410,Cervix uteri,0,1143,2.0,4.5,0.19
24,C54,410,Corpus uteri,0,481,0.85,1.9,0.10
25,C56,410,Ovary,0,1441,2.6,5.6,0.28
26,C60,410,Penis,0,23,0.04,0.09,0.00
27,C61,410,Prostate,0,2715,4.4,10.6,0.25
28,C62,410,Testis,0,16,0.04,0.06,0.00
29,C64,410,Kidney,0,1260,1.0,2.5,0.11
30,C67,410,Bladder,0,2017,1.3,3.9,0.10
31,C70-72,410," Brain, central nervous system",0,1620,1.8,3.2,0.17
32,C73,410,Thyroid,0,414,0.29,0.81,0.03
33,C81,410,Hodgkin lymphoma,0,65,0.05,0.13,0.01
34,C82-86+C88,410,Non-Hodgkin lymphoma,0,2544,2.1,5.0,0.22
35,C90,410,Multiple myeloma,0,1223,0.92,2.4,0.10
36,C91-95,410,Leukaemia,0,2191,2.2,4.3,0.22
