Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,418,All cancers excl. non-melanoma skin cancer,0,6176,109.1,82.6,11.7
1,C00-06,418,"Lip, oral cavity",0,122,2.3,1.6,0.21
2,C07-08,418,Salivary glands,0,13,0.23,0.17,0.03
3,C09-10,418,Oropharynx,0,18,0.32,0.24,0.04
4,C11,418,Nasopharynx,0,170,2.9,2.3,0.34
5,C12-13,418,Hypopharynx,0,41,0.70,0.55,0.08
6,C15,418,Oesophagus,0,251,4.4,3.4,0.52
7,C16,418,Stomach,0,530,9.7,7.1,1.1
41,C18-C21,418,Colorectum,0,444,8.3,5.9,0.90
11,C22,418,Liver and intrahepatic bile ducts,0,1313,23.7,17.6,2.8
12,C23,418,Gallbladder,0,51,1.0,0.68,0.11
13,C25,418,Pancreas,0,73,1.3,0.98,0.14
14,C32,418,Larynx,0,47,0.85,0.63,0.10
15,C33-34,418,"Trachea, bronchus and lung",0,853,15.6,11.4,1.8
16,C43,418,Melanoma of skin,0,9,0.17,0.12,0.02
18,C45,418,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,418,Kaposi sarcoma,0,2,0.02,0.03,0.00
20,C50,418,Breast,0,384,12.6,10.3,1.4
21,C51,418,Vulva,0,9,0.28,0.24,0.03
22,C52,418,Vagina,0,7,0.23,0.19,0.03
23,C53,418,Cervix uteri,0,200,6.5,5.4,0.73
24,C54,418,Corpus uteri,0,33,1.1,0.89,0.13
25,C56,418,Ovary,0,125,4.1,3.4,0.47
26,C60,418,Penis,0,17,0.62,0.45,0.05
27,C61,418,Prostate,0,39,1.9,1.0,0.13
28,C62,418,Testis,0,4,0.11,0.11,0.01
29,C64,418,Kidney,0,42,0.78,0.56,0.08
30,C67,418,Bladder,0,49,0.95,0.65,0.10
31,C70-72,418," Brain, central nervous system",0,167,2.7,2.2,0.27
32,C73,418,Thyroid,0,41,0.73,0.55,0.08
33,C81,418,Hodgkin lymphoma,0,7,0.09,0.09,0.01
34,C82-86+C88,418,Non-Hodgkin lymphoma,0,158,2.6,2.1,0.28
35,C90,418,Multiple myeloma,0,52,0.97,0.70,0.14
36,C91-95,418,Leukaemia,0,286,4.2,3.8,0.39
