Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,422,All cancers excl. non-melanoma skin cancer,0,7178,90.8,107.4,9.6
1,C00-06,422,"Lip, oral cavity",0,41,0.51,0.61,0.06
2,C07-08,422,Salivary glands,0,23,0.30,0.34,0.04
3,C09-10,422,Oropharynx,0,3,0.04,0.04,0.01
4,C11,422,Nasopharynx,0,22,0.29,0.33,0.03
5,C12-13,422,Hypopharynx,0,1,0.01,0.01,0.00
6,C15,422,Oesophagus,0,44,0.56,0.66,0.07
7,C16,422,Stomach,0,217,2.8,3.3,0.31
41,C18-C21,422,Colorectum,0,572,7.1,8.6,0.76
11,C22,422,Liver and intrahepatic bile ducts,0,180,2.3,2.7,0.28
12,C23,422,Gallbladder,0,47,0.58,0.70,0.06
13,C25,422,Pancreas,0,302,3.9,4.5,0.46
14,C32,422,Larynx,0,101,1.3,1.5,0.17
15,C33-34,422,"Trachea, bronchus and lung",0,1408,17.8,21.1,2.1
16,C43,422,Melanoma of skin,0,25,0.30,0.37,0.03
18,C45,422,Mesothelioma,0,28,0.37,0.42,0.05
19,C46,422,Kaposi sarcoma,0,1,0.01,0.01,0.00
20,C50,422,Breast,0,781,20.4,23.6,2.3
21,C51,422,Vulva,0,24,0.57,0.72,0.07
22,C52,422,Vagina,0,10,0.21,0.30,0.02
23,C53,422,Cervix uteri,0,93,2.3,2.8,0.23
24,C54,422,Corpus uteri,0,86,2.2,2.6,0.28
25,C56,422,Ovary,0,171,4.6,5.2,0.56
26,C60,422,Penis,0,4,0.10,0.12,0.01
27,C61,422,Prostate,0,370,9.3,11.0,0.57
28,C62,422,Testis,0,16,0.43,0.47,0.04
29,C64,422,Kidney,0,143,1.8,2.1,0.22
30,C67,422,Bladder,0,328,3.9,4.9,0.40
31,C70-72,422," Brain, central nervous system",0,256,3.4,3.8,0.37
32,C73,422,Thyroid,0,60,0.74,0.90,0.08
33,C81,422,Hodgkin lymphoma,0,59,0.77,0.88,0.08
34,C82-86+C88,422,Non-Hodgkin lymphoma,0,347,4.4,5.2,0.48
35,C90,422,Multiple myeloma,0,181,2.3,2.7,0.29
36,C91-95,422,Leukaemia,0,376,5.0,5.6,0.52
