Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,499,All cancers excl. non-melanoma skin cancer,0,1521,120.6,242.2,13.0
1,C00-06,499,"Lip, oral cavity",0,11,0.92,1.8,0.11
2,C07-08,499,Salivary glands,0,3,0.20,0.48,0.03
3,C09-10,499,Oropharynx,0,4,0.35,0.64,0.06
4,C11,499,Nasopharynx,0,1,0.10,0.16,0.01
5,C12-13,499,Hypopharynx,0,6,0.60,0.96,0.08
6,C15,499,Oesophagus,0,20,1.8,3.2,0.23
7,C16,499,Stomach,0,41,3.3,6.5,0.41
41,C18-C21,499,Colorectum,0,157,11.7,25.0,1.3
11,C22,499,Liver and intrahepatic bile ducts,0,62,4.5,9.9,0.54
12,C23,499,Gallbladder,0,7,0.51,1.1,0.06
13,C25,499,Pancreas,0,70,5.5,11.2,0.64
14,C32,499,Larynx,0,35,2.6,5.6,0.30
15,C33-34,499,"Trachea, bronchus and lung",0,356,30.2,56.7,3.7
16,C43,499,Melanoma of skin,0,29,2.4,4.6,0.30
18,C45,499,Mesothelioma,0,2,0.21,0.32,0.03
19,C46,499,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,499,Breast,0,154,23.3,48.5,2.6
21,C51,499,Vulva,0,1,0.15,0.32,0.03
22,C52,499,Vagina,0,1,0.13,0.32,0.03
23,C53,499,Cervix uteri,0,32,6.3,10.1,0.68
24,C54,499,Corpus uteri,0,25,3.7,7.9,0.42
25,C56,499,Ovary,0,27,3.7,8.5,0.46
26,C60,499,Penis,0,1,0.17,0.32,0.03
27,C61,499,Prostate,0,91,13.7,29.3,1.0
28,C62,499,Testis,0,2,0.57,0.64,0.05
29,C64,499,Kidney,0,26,1.9,4.1,0.24
30,C67,499,Bladder,0,48,3.1,7.6,0.28
31,C70-72,499," Brain, central nervous system",0,72,6.6,11.5,0.70
32,C73,499,Thyroid,0,6,0.39,0.96,0.04
33,C81,499,Hodgkin lymphoma,0,4,0.27,0.64,0.03
34,C82-86+C88,499,Non-Hodgkin lymphoma,0,31,2.7,4.9,0.35
35,C90,499,Multiple myeloma,0,12,0.96,1.9,0.10
36,C91-95,499,Leukaemia,0,38,3.0,6.1,0.28
