Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,508,All cancers excl. non-melanoma skin cancer,0,18723,94.5,56.6,9.3
1,C00-06,508,"Lip, oral cavity",0,156,0.84,0.47,0.09
2,C07-08,508,Salivary glands,0,61,0.26,0.18,0.02
3,C09-10,508,Oropharynx,0,81,0.41,0.24,0.04
4,C11,508,Nasopharynx,0,9,0.03,0.03,0.00
5,C12-13,508,Hypopharynx,0,6,0.04,0.02,0.00
6,C15,508,Oesophagus,0,1428,8.8,4.3,0.99
7,C16,508,Stomach,0,115,0.76,0.35,0.08
41,C18-C21,508,Colorectum,0,492,3.1,1.5,0.33
11,C22,508,Liver and intrahepatic bile ducts,0,1488,7.5,4.5,0.77
12,C23,508,Gallbladder,0,7,0.06,0.02,0.01
13,C25,508,Pancreas,0,130,0.83,0.39,0.09
14,C32,508,Larynx,0,51,0.30,0.15,0.04
15,C33-34,508,"Trachea, bronchus and lung",0,205,1.3,0.62,0.15
16,C43,508,Melanoma of skin,0,47,0.28,0.14,0.04
18,C45,508,Mesothelioma,0,10,0.04,0.03,0.00
19,C46,508,Kaposi sarcoma,0,2580,9.0,7.8,0.75
20,C50,508,Breast,0,1207,12.0,7.1,1.2
21,C51,508,Vulva,0,158,1.4,0.93,0.15
22,C52,508,Vagina,0,26,0.22,0.15,0.02
23,C53,508,Cervix uteri,0,4000,36.9,23.5,3.8
24,C54,508,Corpus uteri,0,64,0.75,0.38,0.07
25,C56,508,Ovary,0,127,1.4,0.75,0.17
26,C60,508,Penis,0,67,0.86,0.42,0.09
27,C61,508,Prostate,0,1037,19.4,6.4,2.2
28,C62,508,Testis,0,17,0.12,0.11,0.01
29,C64,508,Kidney,0,169,0.51,0.51,0.04
30,C67,508,Bladder,0,540,3.7,1.6,0.40
31,C70-72,508," Brain, central nervous system",0,96,0.35,0.29,0.03
32,C73,508,Thyroid,0,47,0.26,0.14,0.03
33,C81,508,Hodgkin lymphoma,0,93,0.33,0.28,0.03
34,C82-86+C88,508,Non-Hodgkin lymphoma,0,990,4.3,3.0,0.38
35,C90,508,Multiple myeloma,0,39,0.22,0.12,0.03
36,C91-95,508,Leukaemia,0,374,1.4,1.1,0.13
