Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,807,All cancers excl. non-melanoma skin cancer,0,4312,111.4,207.2,12.6
1,C00-06,807,"Lip, oral cavity",0,32,0.83,1.5,0.11
2,C07-08,807,Salivary glands,0,7,0.18,0.34,0.03
3,C09-10,807,Oropharynx,0,11,0.30,0.53,0.04
4,C11,807,Nasopharynx,0,6,0.18,0.29,0.02
5,C12-13,807,Hypopharynx,0,4,0.11,0.19,0.02
6,C15,807,Oesophagus,0,35,0.95,1.7,0.11
7,C16,807,Stomach,0,287,7.2,13.8,0.88
41,C18-C21,807,Colorectum,0,518,12.8,24.9,1.5
11,C22,807,Liver and intrahepatic bile ducts,0,199,5.1,9.6,0.62
12,C23,807,Gallbladder,0,28,0.67,1.4,0.09
13,C25,807,Pancreas,0,241,6.2,11.6,0.79
14,C32,807,Larynx,0,75,2.0,3.6,0.24
15,C33-34,807,"Trachea, bronchus and lung",0,1002,26.8,48.1,3.4
16,C43,807,Melanoma of skin,0,79,1.9,3.8,0.21
18,C45,807,Mesothelioma,0,2,0.05,0.10,0.01
19,C46,807,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,807,Breast,0,383,19.6,36.8,2.2
21,C51,807,Vulva,0,5,0.19,0.48,0.03
22,C52,807,Vagina,0,2,0.11,0.19,0.02
23,C53,807,Cervix uteri,0,61,3.5,5.9,0.41
24,C54,807,Corpus uteri,0,77,3.8,7.4,0.44
25,C56,807,Ovary,0,78,4.1,7.5,0.49
26,C60,807,Penis,0,7,0.33,0.67,0.03
27,C61,807,Prostate,0,272,13.7,26.1,1.3
28,C62,807,Testis,0,8,0.64,0.77,0.06
29,C64,807,Kidney,0,52,1.4,2.5,0.17
30,C67,807,Bladder,0,135,3.2,6.5,0.38
31,C70-72,807," Brain, central nervous system",0,225,6.0,10.8,0.77
32,C73,807,Thyroid,0,10,0.25,0.48,0.03
33,C81,807,Hodgkin lymphoma,0,24,0.69,1.2,0.09
34,C82-86+C88,807,Non-Hodgkin lymphoma,0,50,1.3,2.4,0.16
35,C90,807,Multiple myeloma,0,22,0.55,1.1,0.07
36,C91-95,807,Leukaemia,0,92,2.5,4.4,0.27
