Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,512,All cancers excl. non-melanoma skin cancer,0,2249,65.8,42.2,7.3
1,C00-06,512,"Lip, oral cavity",0,31,0.79,0.58,0.09
2,C07-08,512,Salivary glands,0,4,0.13,0.08,0.02
3,C09-10,512,Oropharynx,0,5,0.15,0.09,0.02
4,C11,512,Nasopharynx,0,17,0.39,0.32,0.04
5,C12-13,512,Hypopharynx,0,3,0.07,0.06,0.01
6,C15,512,Oesophagus,0,32,1.1,0.60,0.14
7,C16,512,Stomach,0,210,7.2,3.9,0.84
41,C18-C21,512,Colorectum,0,249,6.7,4.7,0.74
11,C22,512,Liver and intrahepatic bile ducts,0,145,4.4,2.7,0.53
12,C23,512,Gallbladder,0,31,0.96,0.58,0.12
13,C25,512,Pancreas,0,83,2.7,1.6,0.31
14,C32,512,Larynx,0,24,0.80,0.45,0.09
15,C33-34,512,"Trachea, bronchus and lung",0,146,4.9,2.7,0.60
16,C43,512,Melanoma of skin,0,5,0.24,0.09,0.04
18,C45,512,Mesothelioma,0,4,0.12,0.08,0.02
19,C46,512,Kaposi sarcoma,0,7,0.13,0.13,0.01
20,C50,512,Breast,0,199,13.1,10.9,1.4
21,C51,512,Vulva,0,0,0.00,0.00,0.00
22,C52,512,Vagina,0,0,0.00,0.00,0.00
23,C53,512,Cervix uteri,0,56,4.5,3.1,0.54
24,C54,512,Corpus uteri,0,9,0.82,0.49,0.11
25,C56,512,Ovary,0,34,2.7,1.9,0.34
26,C60,512,Penis,0,0,0.00,0.00,0.00
27,C61,512,Prostate,0,86,6.7,2.5,0.70
28,C62,512,Testis,0,6,0.08,0.17,0.01
29,C64,512,Kidney,0,63,1.8,1.2,0.22
30,C67,512,Bladder,0,70,2.6,1.3,0.30
31,C70-72,512," Brain, central nervous system",0,110,2.3,2.1,0.23
32,C73,512,Thyroid,0,26,0.87,0.49,0.09
33,C81,512,Hodgkin lymphoma,0,31,0.75,0.58,0.09
34,C82-86+C88,512,Non-Hodgkin lymphoma,0,136,3.9,2.6,0.46
35,C90,512,Multiple myeloma,0,47,1.6,0.88,0.18
36,C91-95,512,Leukaemia,0,176,4.1,3.3,0.40
