Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,598,All cancers excl. non-melanoma skin cancer,0,6933,114.3,74.6,11.6
1,C00-06,598,"Lip, oral cavity",0,372,6.1,4.0,0.76
2,C07-08,598,Salivary glands,0,30,0.36,0.32,0.03
3,C09-10,598,Oropharynx,0,53,0.85,0.57,0.11
4,C11,598,Nasopharynx,0,11,0.15,0.12,0.02
5,C12-13,598,Hypopharynx,0,8,0.13,0.09,0.01
6,C15,598,Oesophagus,0,195,3.6,2.1,0.37
7,C16,598,Stomach,0,360,6.6,3.9,0.73
41,C18-C21,598,Colorectum,0,382,7.4,4.1,0.71
11,C22,598,Liver and intrahepatic bile ducts,0,725,11.7,7.8,1.3
12,C23,598,Gallbladder,0,59,1.2,0.63,0.11
13,C25,598,Pancreas,0,93,1.7,1.0,0.17
14,C32,598,Larynx,0,70,1.3,0.75,0.13
15,C33-34,598,"Trachea, bronchus and lung",0,553,9.6,6.0,1.2
16,C43,598,Melanoma of skin,0,58,0.99,0.62,0.08
18,C45,598,Mesothelioma,0,6,0.09,0.06,0.01
19,C46,598,Kaposi sarcoma,0,6,0.06,0.06,0.00
20,C50,598,Breast,0,900,26.7,19.8,2.8
21,C51,598,Vulva,0,5,0.15,0.11,0.02
22,C52,598,Vagina,0,17,0.51,0.37,0.05
23,C53,598,Cervix uteri,0,686,19.9,15.1,2.1
24,C54,598,Corpus uteri,0,86,2.8,1.9,0.37
25,C56,598,Ovary,0,205,6.0,4.5,0.66
26,C60,598,Penis,0,13,0.65,0.27,0.02
27,C61,598,Prostate,0,331,15.9,7.0,1.2
28,C62,598,Testis,0,8,0.17,0.17,0.01
29,C64,598,Kidney,0,38,0.74,0.41,0.07
30,C67,598,Bladder,0,83,1.6,0.89,0.19
31,C70-72,598," Brain, central nervous system",0,59,0.89,0.63,0.10
32,C73,598,Thyroid,0,102,1.9,1.1,0.19
33,C81,598,Hodgkin lymphoma,0,18,0.18,0.19,0.01
34,C82-86+C88,598,Non-Hodgkin lymphoma,0,279,4.2,3.0,0.43
35,C90,598,Multiple myeloma,0,42,0.76,0.45,0.07
36,C91-95,598,Leukaemia,0,271,3.8,2.9,0.39
