Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,620,All cancers excl. non-melanoma skin cancer,0,33503,108.4,330.4,11.1
1,C00-06,620,"Lip, oral cavity",0,428,1.8,4.2,0.20
2,C07-08,620,Salivary glands,0,66,0.17,0.65,0.02
3,C09-10,620,Oropharynx,0,274,1.3,2.7,0.16
4,C11,620,Nasopharynx,0,67,0.32,0.66,0.04
5,C12-13,620,Hypopharynx,0,195,0.98,1.9,0.12
6,C15,620,Oesophagus,0,636,2.6,6.3,0.31
7,C16,620,Stomach,0,2578,8.0,25.4,0.87
41,C18-C21,620,Colorectum,0,4809,13.7,47.4,1.4
11,C22,620,Liver and intrahepatic bile ducts,0,1611,5.8,15.9,0.68
12,C23,620,Gallbladder,0,128,0.39,1.3,0.05
13,C25,620,Pancreas,0,2086,6.4,20.6,0.73
14,C32,620,Larynx,0,375,1.6,3.7,0.19
15,C33-34,620,"Trachea, bronchus and lung",0,5077,18.5,50.1,2.2
16,C43,620,Melanoma of skin,0,308,1.0,3.0,0.11
18,C45,620,Mesothelioma,0,73,0.24,0.72,0.03
19,C46,620,Kaposi sarcoma,0,11,0.05,0.11,0.00
20,C50,620,Breast,0,2243,14.7,42.0,1.5
21,C51,620,Vulva,0,94,0.31,1.8,0.02
22,C52,620,Vagina,0,24,0.10,0.45,0.01
23,C53,620,Cervix uteri,0,459,3.5,8.6,0.33
24,C54,620,Corpus uteri,0,439,2.3,8.2,0.27
25,C56,620,Ovary,0,472,3.1,8.8,0.37
26,C60,620,Penis,0,32,0.21,0.67,0.02
27,C61,620,Prostate,0,2083,11.1,43.4,0.78
28,C62,620,Testis,0,24,0.37,0.50,0.03
29,C64,620,Kidney,0,594,1.8,5.9,0.19
30,C67,620,Bladder,0,1392,3.3,13.7,0.32
31,C70-72,620," Brain, central nervous system",0,1048,4.4,10.3,0.48
32,C73,620,Thyroid,0,109,0.27,1.1,0.02
33,C81,620,Hodgkin lymphoma,0,68,0.31,0.67,0.03
34,C82-86+C88,620,Non-Hodgkin lymphoma,0,1052,3.3,10.4,0.35
35,C90,620,Multiple myeloma,0,689,2.0,6.8,0.22
36,C91-95,620,Leukaemia,0,1072,3.6,10.6,0.34
