Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,630,All cancers excl. non-melanoma skin cancer,0,5746,74.5,203.1,7.9
1,C00-06,630,"Lip, oral cavity",0,47,0.62,1.7,0.07
2,C07-08,630,Salivary glands,0,5,0.04,0.18,0.00
3,C09-10,630,Oropharynx,0,62,0.98,2.2,0.12
4,C11,630,Nasopharynx,0,18,0.23,0.64,0.03
5,C12-13,630,Hypopharynx,0,9,0.14,0.32,0.02
6,C15,630,Oesophagus,0,127,1.6,4.5,0.19
7,C16,630,Stomach,0,197,2.4,7.0,0.26
41,C18-C21,630,Colorectum,0,974,13.0,34.4,1.4
11,C22,630,Liver and intrahepatic bile ducts,0,401,5.2,14.2,0.63
12,C23,630,Gallbladder,0,12,0.19,0.42,0.02
13,C25,630,Pancreas,0,377,4.7,13.3,0.54
14,C32,630,Larynx,0,61,0.81,2.2,0.10
15,C33-34,630,"Trachea, bronchus and lung",0,608,7.5,21.5,0.88
16,C43,630,Melanoma of skin,0,23,0.28,0.81,0.03
18,C45,630,Mesothelioma,0,4,0.05,0.14,0.01
19,C46,630,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,630,Breast,0,504,14.3,33.8,1.6
21,C51,630,Vulva,0,9,0.11,0.60,0.01
22,C52,630,Vagina,0,9,0.17,0.60,0.02
23,C53,630,Cervix uteri,0,100,3.4,6.7,0.36
24,C54,630,Corpus uteri,0,116,2.9,7.8,0.37
25,C56,630,Ovary,0,116,3.0,7.8,0.37
26,C60,630,Penis,0,10,0.32,0.75,0.04
27,C61,630,Prostate,0,590,12.9,44.0,0.98
28,C62,630,Testis,0,5,0.33,0.37,0.02
29,C64,630,Kidney,0,102,1.3,3.6,0.15
30,C67,630,Bladder,0,125,1.2,4.4,0.10
31,C70-72,630," Brain, central nervous system",0,111,1.7,3.9,0.20
32,C73,630,Thyroid,0,20,0.26,0.71,0.03
33,C81,630,Hodgkin lymphoma,0,21,0.34,0.74,0.03
34,C82-86+C88,630,Non-Hodgkin lymphoma,0,199,2.8,7.0,0.30
35,C90,630,Multiple myeloma,0,155,1.9,5.5,0.22
36,C91-95,630,Leukaemia,0,226,2.9,8.0,0.30
