Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,634,All cancers excl. non-melanoma skin cancer,0,781,46.1,26.2,5.0
1,C00-06,634,"Lip, oral cavity",0,11,0.86,0.37,0.10
2,C07-08,634,Salivary glands,0,3,0.07,0.10,0.01
3,C09-10,634,Oropharynx,0,0,0.00,0.00,0.00
4,C11,634,Nasopharynx,0,7,0.27,0.23,0.03
5,C12-13,634,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,634,Oesophagus,0,16,1.3,0.54,0.11
7,C16,634,Stomach,0,43,3.1,1.4,0.31
41,C18-C21,634,Colorectum,0,79,4.8,2.7,0.47
11,C22,634,Liver and intrahepatic bile ducts,0,54,3.9,1.8,0.56
12,C23,634,Gallbladder,0,10,1.1,0.34,0.10
13,C25,634,Pancreas,0,31,2.0,1.0,0.23
14,C32,634,Larynx,0,8,0.31,0.27,0.04
15,C33-34,634,"Trachea, bronchus and lung",0,81,5.3,2.7,0.60
16,C43,634,Melanoma of skin,0,0,0.00,0.00,0.00
18,C45,634,Mesothelioma,0,3,0.15,0.10,0.02
19,C46,634,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,634,Breast,0,62,11.4,8.2,1.3
21,C51,634,Vulva,0,0,0.00,0.00,0.00
22,C52,634,Vagina,0,0,0.00,0.00,0.00
23,C53,634,Cervix uteri,0,13,3.2,1.7,0.34
24,C54,634,Corpus uteri,0,4,1.2,0.53,0.16
25,C56,634,Ovary,0,19,4.5,2.5,0.50
26,C60,634,Penis,0,0,0.00,0.00,0.00
27,C61,634,Prostate,0,17,2.4,0.76,0.20
28,C62,634,Testis,0,0,0.00,0.00,0.00
29,C64,634,Kidney,0,16,0.77,0.54,0.08
30,C67,634,Bladder,0,26,2.9,0.87,0.25
31,C70-72,634," Brain, central nervous system",0,35,1.7,1.2,0.23
32,C73,634,Thyroid,0,8,0.55,0.27,0.06
33,C81,634,Hodgkin lymphoma,0,8,0.26,0.27,0.03
34,C82-86+C88,634,Non-Hodgkin lymphoma,0,41,1.9,1.4,0.21
35,C90,634,Multiple myeloma,0,16,0.83,0.54,0.13
36,C91-95,634,Leukaemia,0,69,3.1,2.3,0.36
