Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,642,All cancers excl. non-melanoma skin cancer,0,55627,131.5,292.3,14.5
1,C00-06,642,"Lip, oral cavity",0,936,2.6,4.9,0.31
2,C07-08,642,Salivary glands,0,83,0.20,0.44,0.02
3,C09-10,642,Oropharynx,0,722,2.1,3.8,0.26
4,C11,642,Nasopharynx,0,213,0.64,1.1,0.07
5,C12-13,642,Hypopharynx,0,477,1.4,2.5,0.17
6,C15,642,Oesophagus,0,720,1.9,3.8,0.24
7,C16,642,Stomach,0,3186,7.1,16.7,0.84
41,C18-C21,642,Colorectum,0,7381,15.5,38.8,1.8
11,C22,642,Liver and intrahepatic bile ducts,0,3495,8.2,18.4,1.0
12,C23,642,Gallbladder,0,168,0.35,0.88,0.04
13,C25,642,Pancreas,0,3209,7.3,16.9,0.89
14,C32,642,Larynx,0,1088,2.9,5.7,0.36
15,C33-34,642,"Trachea, bronchus and lung",0,10530,26.6,55.3,3.3
16,C43,642,Melanoma of skin,0,541,1.3,2.8,0.14
18,C45,642,Mesothelioma,0,62,0.16,0.33,0.02
19,C46,642,Kaposi sarcoma,0,30,0.07,0.16,0.01
20,C50,642,Breast,0,3946,16.8,40.4,1.9
21,C51,642,Vulva,0,193,0.62,2.0,0.07
22,C52,642,Vagina,0,31,0.12,0.32,0.01
23,C53,642,Cervix uteri,0,1793,9.3,18.3,1.1
24,C54,642,Corpus uteri,0,507,2.1,5.2,0.26
25,C56,642,Ovary,0,1195,5.4,12.2,0.65
26,C60,642,Penis,0,55,0.30,0.59,0.04
27,C61,642,Prostate,0,2854,12.3,30.9,1.2
28,C62,642,Testis,0,45,0.36,0.49,0.03
29,C64,642,Kidney,0,1010,2.4,5.3,0.28
30,C67,642,Bladder,0,1896,3.6,10.0,0.41
31,C70-72,642," Brain, central nervous system",0,1767,5.1,9.3,0.56
32,C73,642,Thyroid,0,161,0.34,0.85,0.04
33,C81,642,Hodgkin lymphoma,0,105,0.30,0.55,0.03
34,C82-86+C88,642,Non-Hodgkin lymphoma,0,749,2.0,3.9,0.22
35,C90,642,Multiple myeloma,0,524,1.2,2.8,0.15
36,C91-95,642,Leukaemia,0,1398,3.5,7.4,0.37
