Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,643,All cancers excl. non-melanoma skin cancer,0,310160,110.0,212.7,12.8
1,C00-06,643,"Lip, oral cavity",0,5398,2.2,3.7,0.26
2,C07-08,643,Salivary glands,0,807,0.30,0.55,0.03
3,C09-10,643,Oropharynx,0,1976,0.82,1.4,0.10
4,C11,643,Nasopharynx,0,330,0.14,0.23,0.02
5,C12-13,643,Hypopharynx,0,2102,0.86,1.4,0.11
6,C15,643,Oesophagus,0,8359,3.1,5.7,0.40
7,C16,643,Stomach,0,27306,9.2,18.7,1.1
41,C18-C21,643,Colorectum,0,41447,13.3,28.4,1.6
11,C22,643,Liver and intrahepatic bile ducts,0,11377,4.0,7.8,0.50
12,C23,643,Gallbladder,0,1321,0.42,0.91,0.05
13,C25,643,Pancreas,0,20672,7.2,14.2,0.90
14,C32,643,Larynx,0,3942,1.5,2.7,0.20
15,C33-34,643,"Trachea, bronchus and lung",0,51887,18.6,35.6,2.5
16,C43,643,Melanoma of skin,0,3928,1.5,2.7,0.17
18,C45,643,Mesothelioma,0,1636,0.62,1.1,0.07
19,C46,643,Kaposi sarcoma,0,105,0.03,0.07,0.00
20,C50,643,Breast,0,22259,13.7,28.5,1.6
21,C51,643,Vulva,0,1046,0.51,1.3,0.06
22,C52,643,Vagina,0,227,0.13,0.29,0.02
23,C53,643,Cervix uteri,0,7903,6.4,10.1,0.67
24,C54,643,Corpus uteri,0,6756,3.7,8.6,0.48
25,C56,643,Ovary,0,9333,6.1,11.9,0.74
26,C60,643,Penis,0,289,0.27,0.43,0.03
27,C61,643,Prostate,0,14635,12.7,21.7,1.5
28,C62,643,Testis,0,302,0.36,0.45,0.03
29,C64,643,Kidney,0,9148,3.1,6.3,0.40
30,C67,643,Bladder,0,5917,1.9,4.1,0.23
31,C70-72,643," Brain, central nervous system",0,8587,3.7,5.9,0.41
32,C73,643,Thyroid,0,987,0.31,0.68,0.04
33,C81,643,Hodgkin lymphoma,0,774,0.37,0.53,0.04
34,C82-86+C88,643,Non-Hodgkin lymphoma,0,6338,2.3,4.4,0.28
35,C90,643,Multiple myeloma,0,3384,1.2,2.3,0.16
36,C91-95,643,Leukaemia,0,8224,3.1,5.6,0.36
