Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,702,All cancers excl. non-melanoma skin cancer,0,13248,110.5,222.9,11.1
1,C00-06,702,"Lip, oral cavity",0,94,0.80,1.6,0.09
2,C07-08,702,Salivary glands,0,22,0.17,0.37,0.02
3,C09-10,702,Oropharynx,0,47,0.40,0.79,0.05
4,C11,702,Nasopharynx,0,317,2.9,5.3,0.35
5,C12-13,702,Hypopharynx,0,29,0.24,0.49,0.03
6,C15,702,Oesophagus,0,224,1.9,3.8,0.22
7,C16,702,Stomach,0,677,5.5,11.4,0.54
41,C18-C21,702,Colorectum,0,2043,16.7,34.4,1.7
11,C22,702,Liver and intrahepatic bile ducts,0,1353,11.0,22.8,1.2
12,C23,702,Gallbladder,0,126,1.0,2.1,0.10
13,C25,702,Pancreas,0,910,7.4,15.3,0.85
14,C32,702,Larynx,0,62,0.49,1.0,0.05
15,C33-34,702,"Trachea, bronchus and lung",0,2747,22.2,46.2,2.4
16,C43,702,Melanoma of skin,0,21,0.18,0.35,0.02
18,C45,702,Mesothelioma,0,43,0.34,0.72,0.05
19,C46,702,Kaposi sarcoma,0,2,0.03,0.03,0.00
20,C50,702,Breast,0,984,17.8,34.7,2.0
21,C51,702,Vulva,0,12,0.17,0.42,0.01
22,C52,702,Vagina,0,11,0.16,0.39,0.01
23,C53,702,Cervix uteri,0,153,2.8,5.4,0.30
24,C54,702,Corpus uteri,0,213,3.8,7.5,0.45
25,C56,702,Ovary,0,296,5.4,10.5,0.60
26,C60,702,Penis,0,6,0.10,0.19,0.01
27,C61,702,Prostate,0,480,8.2,15.4,0.63
28,C62,702,Testis,0,3,0.06,0.10,0.00
29,C64,702,Kidney,0,284,2.4,4.8,0.25
30,C67,702,Bladder,0,201,1.6,3.4,0.13
31,C70-72,702," Brain, central nervous system",0,174,1.9,2.9,0.18
32,C73,702,Thyroid,0,67,0.54,1.1,0.06
33,C81,702,Hodgkin lymphoma,0,6,0.05,0.10,0.00
34,C82-86+C88,702,Non-Hodgkin lymphoma,0,410,3.5,6.9,0.37
35,C90,702,Multiple myeloma,0,127,1.0,2.1,0.12
36,C91-95,702,Leukaemia,0,350,3.3,5.9,0.33
