Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,705,All cancers excl. non-melanoma skin cancer,0,6836,116.0,329.0,12.3
1,C00-06,705,"Lip, oral cavity",0,37,0.77,1.8,0.09
2,C07-08,705,Salivary glands,0,6,0.08,0.29,0.01
3,C09-10,705,Oropharynx,0,59,1.4,2.8,0.18
4,C11,705,Nasopharynx,0,1,0.01,0.05,0.00
5,C12-13,705,Hypopharynx,0,28,0.67,1.4,0.08
6,C15,705,Oesophagus,0,97,2.0,4.7,0.24
7,C16,705,Stomach,0,309,5.0,14.9,0.55
41,C18-C21,705,Colorectum,0,739,11.2,35.6,1.2
11,C22,705,Liver and intrahepatic bile ducts,0,335,5.9,16.1,0.73
12,C23,705,Gallbladder,0,53,0.88,2.6,0.09
13,C25,705,Pancreas,0,422,7.3,20.3,0.86
14,C32,705,Larynx,0,42,0.82,2.0,0.10
15,C33-34,705,"Trachea, bronchus and lung",0,1312,25.4,63.1,3.2
16,C43,705,Melanoma of skin,0,122,2.3,5.9,0.26
18,C45,705,Mesothelioma,0,48,0.87,2.3,0.11
19,C46,705,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,705,Breast,0,477,15.2,45.8,1.6
21,C51,705,Vulva,0,26,0.57,2.5,0.05
22,C52,705,Vagina,0,4,0.08,0.38,0.01
23,C53,705,Cervix uteri,0,61,2.4,5.9,0.27
24,C54,705,Corpus uteri,0,105,3.5,10.1,0.41
25,C56,705,Ovary,0,136,5.0,13.1,0.59
26,C60,705,Penis,0,6,0.21,0.58,0.02
27,C61,705,Prostate,0,483,14.8,46.6,1.1
28,C62,705,Testis,0,6,0.50,0.58,0.04
29,C64,705,Kidney,0,189,3.1,9.1,0.36
30,C67,705,Bladder,0,255,3.4,12.3,0.34
31,C70-72,705," Brain, central nervous system",0,196,4.7,9.4,0.52
32,C73,705,Thyroid,0,21,0.30,1.0,0.03
33,C81,705,Hodgkin lymphoma,0,10,0.12,0.48,0.01
34,C82-86+C88,705,Non-Hodgkin lymphoma,0,247,3.8,11.9,0.42
35,C90,705,Multiple myeloma,0,128,2.0,6.2,0.22
36,C91-95,705,Leukaemia,0,262,4.0,12.6,0.42
