Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,144,All cancers excl. non-melanoma skin cancer,0,18992,58.5,88.0,6.6
1,C00-06,144,"Lip, oral cavity",0,1198,3.8,5.6,0.46
2,C07-08,144,Salivary glands,0,92,0.30,0.43,0.03
3,C09-10,144,Oropharynx,0,244,0.78,1.1,0.10
4,C11,144,Nasopharynx,0,44,0.14,0.20,0.01
5,C12-13,144,Hypopharynx,0,187,0.56,0.87,0.07
6,C15,144,Oesophagus,0,1715,5.0,8.0,0.59
7,C16,144,Stomach,0,645,1.9,3.0,0.23
41,C18-C21,144,Colorectum,0,1284,3.9,6.0,0.45
11,C22,144,Liver and intrahepatic bile ducts,0,380,1.1,1.8,0.14
12,C23,144,Gallbladder,0,72,0.22,0.33,0.03
13,C25,144,Pancreas,0,269,0.82,1.3,0.10
14,C32,144,Larynx,0,440,1.3,2.0,0.18
15,C33-34,144,"Trachea, bronchus and lung",0,2035,6.1,9.4,0.73
16,C43,144,Melanoma of skin,0,49,0.16,0.23,0.02
18,C45,144,Mesothelioma,0,6,0.02,0.03,0.00
19,C46,144,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,144,Breast,0,1991,11.2,17.7,1.3
21,C51,144,Vulva,0,26,0.11,0.23,0.01
22,C52,144,Vagina,0,23,0.14,0.20,0.02
23,C53,144,Cervix uteri,0,946,5.3,8.4,0.61
24,C54,144,Corpus uteri,0,228,1.2,2.0,0.14
25,C56,144,Ovary,0,911,5.4,8.1,0.65
26,C60,144,Penis,0,43,0.29,0.42,0.03
27,C61,144,Prostate,0,422,2.7,4.1,0.29
28,C62,144,Testis,0,18,0.15,0.17,0.02
29,C64,144,Kidney,0,181,0.55,0.84,0.06
30,C67,144,Bladder,0,308,0.84,1.4,0.09
31,C70-72,144," Brain, central nervous system",0,425,1.5,2.0,0.15
32,C73,144,Thyroid,0,217,0.69,1.0,0.08
33,C81,144,Hodgkin lymphoma,0,71,0.26,0.33,0.02
34,C82-86+C88,144,Non-Hodgkin lymphoma,0,547,1.7,2.5,0.20
35,C90,144,Multiple myeloma,0,453,1.3,2.1,0.16
36,C91-95,144,Leukaemia,0,790,2.8,3.7,0.29
