Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,752,All cancers excl. non-melanoma skin cancer,0,25461,85.0,249.2,8.6
1,C00-06,752,"Lip, oral cavity",0,248,0.87,2.4,0.10
2,C07-08,752,Salivary glands,0,50,0.23,0.49,0.02
3,C09-10,752,Oropharynx,0,69,0.30,0.68,0.04
4,C11,752,Nasopharynx,0,13,0.05,0.13,0.00
5,C12-13,752,Hypopharynx,0,44,0.16,0.43,0.02
6,C15,752,Oesophagus,0,577,2.1,5.7,0.25
7,C16,752,Stomach,0,550,2.0,5.4,0.23
41,C18-C21,752,Colorectum,0,3218,10.5,31.5,1.1
11,C22,752,Liver and intrahepatic bile ducts,0,917,3.3,9.0,0.37
12,C23,752,Gallbladder,0,164,0.55,1.6,0.06
13,C25,752,Pancreas,0,2239,7.5,21.9,0.84
14,C32,752,Larynx,0,78,0.27,0.76,0.03
15,C33-34,752,"Trachea, bronchus and lung",0,3816,13.3,37.3,1.6
16,C43,752,Melanoma of skin,0,536,2.0,5.3,0.22
18,C45,752,Mesothelioma,0,195,0.58,1.9,0.06
19,C46,752,Kaposi sarcoma,0,1,0.00,0.01,0.00
20,C50,752,Breast,0,1546,11.9,30.3,1.3
21,C51,752,Vulva,0,96,0.49,1.9,0.04
22,C52,752,Vagina,0,13,0.11,0.26,0.01
23,C53,752,Cervix uteri,0,238,2.0,4.7,0.20
24,C54,752,Corpus uteri,0,387,2.2,7.6,0.23
25,C56,752,Ovary,0,543,4.2,10.7,0.50
26,C60,752,Penis,0,37,0.25,0.72,0.03
27,C61,752,Prostate,0,2475,13.4,48.3,0.78
28,C62,752,Testis,0,8,0.10,0.16,0.01
29,C64,752,Kidney,0,622,2.0,6.1,0.20
30,C67,752,Bladder,0,881,2.4,8.6,0.22
31,C70-72,752," Brain, central nervous system",0,763,4.3,7.5,0.47
32,C73,752,Thyroid,0,96,0.29,0.94,0.03
33,C81,752,Hodgkin lymphoma,0,31,0.09,0.30,0.01
34,C82-86+C88,752,Non-Hodgkin lymphoma,0,866,2.5,8.5,0.23
35,C90,752,Multiple myeloma,0,526,1.6,5.2,0.17
36,C91-95,752,Leukaemia,0,828,2.8,8.1,0.27
