Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,756,All cancers excl. non-melanoma skin cancer,0,19266,78.4,219.6,8.2
1,C00-06,756,"Lip, oral cavity",0,213,0.97,2.4,0.11
2,C07-08,756,Salivary glands,0,48,0.17,0.55,0.02
3,C09-10,756,Oropharynx,0,120,0.62,1.4,0.08
4,C11,756,Nasopharynx,0,19,0.10,0.22,0.01
5,C12-13,756,Hypopharynx,0,94,0.47,1.1,0.06
6,C15,756,Oesophagus,0,491,2.1,5.6,0.25
7,C16,756,Stomach,0,636,2.8,7.3,0.30
41,C18-C21,756,Colorectum,0,1978,7.7,22.5,0.80
11,C22,756,Liver and intrahepatic bile ducts,0,905,3.7,10.3,0.43
12,C23,756,Gallbladder,0,100,0.40,1.1,0.04
13,C25,756,Pancreas,0,1745,7.2,19.9,0.82
14,C32,756,Larynx,0,72,0.33,0.82,0.04
15,C33-34,756,"Trachea, bronchus and lung",0,3556,15.9,40.5,1.9
16,C43,756,Melanoma of skin,0,299,1.2,3.4,0.12
18,C45,756,Mesothelioma,0,205,0.86,2.3,0.10
19,C46,756,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,756,Breast,0,1551,12.4,35.1,1.3
21,C51,756,Vulva,0,46,0.25,1.0,0.02
22,C52,756,Vagina,0,13,0.10,0.29,0.01
23,C53,756,Cervix uteri,0,99,1.1,2.2,0.11
24,C54,756,Corpus uteri,0,227,1.6,5.1,0.18
25,C56,756,Ovary,0,456,3.6,10.3,0.40
26,C60,756,Penis,0,11,0.09,0.25,0.01
27,C61,756,Prostate,0,1472,9.9,33.8,0.66
28,C62,756,Testis,0,19,0.28,0.44,0.03
29,C64,756,Kidney,0,337,1.3,3.8,0.14
30,C67,756,Bladder,0,769,2.6,8.8,0.24
31,C70-72,756," Brain, central nervous system",0,621,3.7,7.1,0.41
32,C73,756,Thyroid,0,56,0.20,0.64,0.02
33,C81,756,Hodgkin lymphoma,0,36,0.13,0.41,0.01
34,C82-86+C88,756,Non-Hodgkin lymphoma,0,648,2.3,7.4,0.22
35,C90,756,Multiple myeloma,0,423,1.4,4.8,0.15
36,C91-95,756,Leukaemia,0,664,2.6,7.6,0.25
