Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,792,All cancers excl. non-melanoma skin cancer,0,129099,115.6,150.9,12.5
1,C00-06,792,"Lip, oral cavity",0,551,0.48,0.64,0.05
2,C07-08,792,Salivary glands,0,148,0.13,0.17,0.01
3,C09-10,792,Oropharynx,0,97,0.09,0.11,0.01
4,C11,792,Nasopharynx,0,521,0.49,0.61,0.06
5,C12-13,792,Hypopharynx,0,78,0.07,0.09,0.01
6,C15,792,Oesophagus,0,1134,1.0,1.3,0.11
7,C16,792,Stomach,0,10457,9.3,12.2,1.1
41,C18-C21,792,Colorectum,0,11698,10.1,13.7,1.1
11,C22,792,Liver and intrahepatic bile ducts,0,4929,4.4,5.8,0.52
12,C23,792,Gallbladder,0,504,0.44,0.59,0.05
13,C25,792,Pancreas,0,8415,7.4,9.8,0.86
14,C32,792,Larynx,0,1689,1.5,2.0,0.18
15,C33-34,792,"Trachea, bronchus and lung",0,38505,35.1,45.0,4.4
16,C43,792,Melanoma of skin,0,864,0.76,1.0,0.08
18,C45,792,Mesothelioma,0,696,0.64,0.81,0.08
19,C46,792,Kaposi sarcoma,0,72,0.06,0.08,0.01
20,C50,792,Breast,0,7360,12.5,17.0,1.3
21,C51,792,Vulva,0,126,0.19,0.29,0.02
22,C52,792,Vagina,0,30,0.04,0.07,0.00
23,C53,792,Cervix uteri,0,1203,2.0,2.8,0.22
24,C54,792,Corpus uteri,0,1524,2.4,3.5,0.30
25,C56,792,Ovary,0,2848,4.8,6.6,0.57
26,C60,792,Penis,0,6,0.01,0.01,0.00
27,C61,792,Prostate,0,5428,10.5,12.9,0.83
28,C62,792,Testis,0,190,0.40,0.45,0.03
29,C64,792,Kidney,0,1692,1.5,2.0,0.18
30,C67,792,Bladder,0,3905,3.3,4.6,0.34
31,C70-72,792," Brain, central nervous system",0,6016,5.7,7.0,0.61
32,C73,792,Thyroid,0,867,0.76,1.0,0.09
33,C81,792,Hodgkin lymphoma,0,448,0.43,0.52,0.05
34,C82-86+C88,792,Non-Hodgkin lymphoma,0,3050,2.8,3.6,0.30
35,C90,792,Multiple myeloma,0,2002,1.8,2.3,0.22
36,C91-95,792,Leukaemia,0,5034,4.7,5.9,0.46
