Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,795,All cancers excl. non-melanoma skin cancer,0,4420,81.8,71.3,9.1
1,C00-06,795,"Lip, oral cavity",0,94,1.7,1.5,0.21
2,C07-08,795,Salivary glands,0,7,0.13,0.11,0.02
3,C09-10,795,Oropharynx,0,41,0.77,0.66,0.09
4,C11,795,Nasopharynx,0,23,0.40,0.37,0.05
5,C12-13,795,Hypopharynx,0,23,0.43,0.37,0.05
6,C15,795,Oesophagus,0,371,7.3,6.0,0.87
7,C16,795,Stomach,0,496,9.7,8.0,1.2
41,C18-C21,795,Colorectum,0,201,3.8,3.2,0.41
11,C22,795,Liver and intrahepatic bile ducts,0,297,5.7,4.8,0.69
12,C23,795,Gallbladder,0,22,0.43,0.35,0.06
13,C25,795,Pancreas,0,127,2.5,2.1,0.31
14,C32,795,Larynx,0,42,0.77,0.68,0.10
15,C33-34,795,"Trachea, bronchus and lung",0,464,8.7,7.5,1.1
16,C43,795,Melanoma of skin,0,26,0.49,0.42,0.05
18,C45,795,Mesothelioma,0,1,0.02,0.02,0.00
19,C46,795,Kaposi sarcoma,0,2,0.04,0.03,0.01
20,C50,795,Breast,0,485,15.6,15.4,1.7
21,C51,795,Vulva,0,9,0.32,0.29,0.03
22,C52,795,Vagina,0,4,0.14,0.13,0.03
23,C53,795,Cervix uteri,0,279,8.9,8.9,1.0
24,C54,795,Corpus uteri,0,46,1.6,1.5,0.20
25,C56,795,Ovary,0,104,3.4,3.3,0.40
26,C60,795,Penis,0,0,0.00,0.00,0.00
27,C61,795,Prostate,0,68,3.4,2.2,0.38
28,C62,795,Testis,0,19,0.63,0.62,0.06
29,C64,795,Kidney,0,109,2.1,1.8,0.24
30,C67,795,Bladder,0,76,1.5,1.2,0.18
31,C70-72,795," Brain, central nervous system",0,232,3.9,3.7,0.40
32,C73,795,Thyroid,0,19,0.34,0.31,0.04
33,C81,795,Hodgkin lymphoma,0,14,0.22,0.23,0.02
34,C82-86+C88,795,Non-Hodgkin lymphoma,0,44,0.80,0.71,0.09
35,C90,795,Multiple myeloma,0,50,0.95,0.81,0.11
36,C91-95,795,Leukaemia,0,174,3.0,2.8,0.29
