Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,860,All cancers excl. non-melanoma skin cancer,0,21928,71.0,63.8,8.1
1,C00-06,860,"Lip, oral cavity",0,451,1.5,1.3,0.18
2,C07-08,860,Salivary glands,0,63,0.21,0.18,0.02
3,C09-10,860,Oropharynx,0,118,0.39,0.34,0.05
4,C11,860,Nasopharynx,0,128,0.39,0.37,0.04
5,C12-13,860,Hypopharynx,0,61,0.19,0.18,0.02
6,C15,860,Oesophagus,0,1298,4.4,3.8,0.55
7,C16,860,Stomach,0,2320,7.8,6.8,0.98
41,C18-C21,860,Colorectum,0,1446,4.8,4.2,0.59
11,C22,860,Liver and intrahepatic bile ducts,0,1445,4.8,4.2,0.61
12,C23,860,Gallbladder,0,70,0.23,0.20,0.03
13,C25,860,Pancreas,0,987,3.3,2.9,0.42
14,C32,860,Larynx,0,101,0.32,0.29,0.04
15,C33-34,860,"Trachea, bronchus and lung",0,2137,7.1,6.2,0.94
16,C43,860,Melanoma of skin,0,96,0.32,0.28,0.03
18,C45,860,Mesothelioma,0,44,0.14,0.13,0.01
19,C46,860,Kaposi sarcoma,0,38,0.12,0.11,0.01
20,C50,860,Breast,0,2246,13.0,13.0,1.5
21,C51,860,Vulva,0,41,0.25,0.24,0.03
22,C52,860,Vagina,0,23,0.14,0.13,0.02
23,C53,860,Cervix uteri,0,1585,9.2,9.2,1.1
24,C54,860,Corpus uteri,0,252,1.6,1.5,0.21
25,C56,860,Ovary,0,562,3.3,3.3,0.39
26,C60,860,Penis,0,4,0.04,0.02,0.00
27,C61,860,Prostate,0,607,5.3,3.5,0.59
28,C62,860,Testis,0,72,0.47,0.42,0.04
29,C64,860,Kidney,0,385,1.3,1.1,0.15
30,C67,860,Bladder,0,353,1.2,1.0,0.16
31,C70-72,860," Brain, central nervous system",0,1366,4.1,4.0,0.42
32,C73,860,Thyroid,0,71,0.24,0.21,0.03
33,C81,860,Hodgkin lymphoma,0,133,0.40,0.39,0.04
34,C82-86+C88,860,Non-Hodgkin lymphoma,0,354,1.1,1.0,0.12
35,C90,860,Multiple myeloma,0,40,0.13,0.12,0.02
36,C91-95,860,Leukaemia,0,1066,3.2,3.1,0.29
