Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,704,All cancers excl. non-melanoma skin cancer,0,119694,98.7,121.0,10.9
1,C00-06,704,"Lip, oral cavity",0,1279,1.0,1.3,0.12
2,C07-08,704,Salivary glands,0,169,0.14,0.17,0.01
3,C09-10,704,Oropharynx,0,372,0.30,0.38,0.04
4,C11,704,Nasopharynx,0,3453,2.9,3.5,0.34
5,C12-13,704,Hypopharynx,0,1236,1.0,1.3,0.11
6,C15,704,Oesophagus,0,3470,2.9,3.5,0.35
7,C16,704,Stomach,0,13264,10.9,13.4,1.3
41,C18-C21,704,Colorectum,0,8454,6.8,8.5,0.80
11,C22,704,Liver and intrahepatic bile ducts,0,23333,19.3,23.6,2.3
12,C23,704,Gallbladder,0,209,0.17,0.21,0.02
13,C25,704,Pancreas,0,1226,1.0,1.2,0.12
14,C32,704,Larynx,0,1233,0.98,1.3,0.11
15,C33-34,704,"Trachea, bronchus and lung",0,22597,18.7,22.8,2.3
16,C43,704,Melanoma of skin,0,122,0.09,0.12,0.01
18,C45,704,Mesothelioma,0,289,0.24,0.29,0.03
19,C46,704,Kaposi sarcoma,0,94,0.08,0.09,0.01
20,C50,704,Breast,0,10008,14.7,20.2,1.6
21,C51,704,Vulva,0,73,0.10,0.15,0.01
22,C52,704,Vagina,0,32,0.04,0.06,0.00
23,C53,704,Cervix uteri,0,2571,3.8,5.2,0.46
24,C54,704,Corpus uteri,0,1374,2.1,2.8,0.25
25,C56,704,Ovary,0,1003,1.6,2.0,0.19
26,C60,704,Penis,0,152,0.28,0.31,0.03
27,C61,704,Prostate,0,2800,5.4,5.7,0.32
28,C62,704,Testis,0,62,0.13,0.13,0.01
29,C64,704,Kidney,0,1112,0.97,1.1,0.10
30,C67,704,Bladder,0,1004,0.78,1.0,0.09
31,C70-72,704," Brain, central nervous system",0,2431,2.1,2.5,0.22
32,C73,704,Thyroid,0,858,0.71,0.87,0.08
33,C81,704,Hodgkin lymphoma,0,228,0.20,0.23,0.02
34,C82-86+C88,704,Non-Hodgkin lymphoma,0,2211,1.9,2.2,0.21
35,C90,704,Multiple myeloma,0,562,0.46,0.57,0.06
36,C91-95,704,Leukaemia,0,4330,4.0,4.4,0.38
